Strain,Replicate,H2O2,CFU
SG200,1,0 mM,3970000
SG200,1,0 mM,3800000
SG200,2,0 mM,2860000
SG200,2,0 mM,3500000
SG200,3,0 mM,1600000
SG200,3,0 mM,1800000
SG200,1,10 mM,0
SG200,2,10 mM,0
SG200,3,10 mM,0
oexCAT,1,0 mM,1670000
oexCAT,1,0 mM,4000000
oexCAT,1,10 mM,150000
oexCAT,1,10 mM,200000
oexCAT,2,0 mM,1240000
oexCAT,2,0 mM,1600000
oexCAT,2,10 mM,110000
oexCAT,3,0 mM,1080000
oexCAT,3,0 mM,1100000
oexCAT,3,10 mM,110000
T20.LC.1,1,0 mM,3580000
T20.LC.1,1,0 mM,4800000
T20.LC.1,1,10 mM,1800000
T20.LC.1,1,10 mM,1400000
T20.LC.1,2,0 mM,980000
T20.LC.1,2,0 mM,2200000
T20.LC.1,2,10 mM,710000
T20.LC.1,2,10 mM,700000
T20.LC.1,3,0 mM,1500000
T20.LC.1,3,0 mM,2000000
T20.LC.1,3,10 mM,800000
T20.LC.1,3,10 mM,400000
